,Name,Studio,Episodes,Genres,Source,Type,Score,Members,Season,Year
77,Document Taiyou no Kiba Dagram,Sunrise,1,"[Drama, Mecha, Military, Sci-Fi, Shounen]",-,Movie,6.25,373,Summer,1983
78,Xabungle Graffiti,Sunrise,1,[Mecha],-,Movie,6.88513427562,283,Summer,1983
79,Nine: Original Han,-,1,"[Action, School, Sports]",-,Movie,6.88513427562,179,Summer,1983
80,Shan T Lao Fu Zi,-,1,"[Action, Comedy, Seinen]",-,Movie,6.88513427562,101,Summer,1983
81,Space Gundam V,-,1,"[Action, Comedy, Mecha]",Original,Movie,6.88513427562,21,Summer,1983
82,Time Slip Ichimannen: Prime Rose,-,1,"[Action, Adventure, Romance, Sci-Fi, Drama]",-,Special,5.99,654,Summer,1983
83,Naruto: Shippuuden,Studio Pierrot,500,"[Action, Comedy, Super Power, Martial Arts, Shounen]",Manga,TV,8.14,"612,445",Winter,2007
84,Nodame Cantabile,J.C.Staff,23,"[Music, Slice of Life, Comedy, Drama, Romance, Josei]",Manga,TV,8.44,"172,225",Winter,2007
85,Afro Samurai,Gonzo,5,"[Action, Adventure, Samurai]",Original,TV,7.41,"149,132",Winter,2007
86,Ikkitousen: Dragon Destiny,Arms,12,"[Action, Super Power, Ecchi, Martial Arts, School]",Manga,TV,6.94,"49,919",Winter,2007
87,Tokyo Majin Gakuen Kenpucho: Tou,"AIC Spirits, BeSTACK",14,"[Action, Horror, Supernatural, Drama, Martial Arts, Fantasy, School]",Visual novel,TV,7.29,"46,487",Winter,2007
88,Hidamari Sketch,Shaft,12,"[Slice of Life, Comedy, School]",4-koma manga,TV,7.5,"45,816",Winter,2007
89,Shuffle! Memories,Asread,12,"[Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen]",Visual novel,TV,6.63,"36,044",Winter,2007
90,Major S3,Studio Hibari,26,"[Drama, Shounen, Sports]",Manga,TV,8.39,"32,456",Winter,2007
91,Kyoushirou to Towa no Sora,TNK,12,"[Drama, Magic, Romance, Shounen]",Manga,TV,6.67,"29,762",Winter,2007
92,Venus Versus Virus,Studio Hibari,12,"[Drama, Romance, Supernatural]",Manga,TV,6.53,"21,856",Winter,2007
93,Gakuen Utopia Manabi Straight!,ufotable,12,"[Slice of Life, Comedy, School]",Original,TV,7.37,"20,557",Winter,2007
94,Les Misérables: Shoujo Cosette,Nippon Animation,52,"[Drama, Historical, Shoujo, Slice of Life]",Novel,TV,7.96,"10,792",Winter,2007
95,Himawari!!,Arms,13,"[Comedy, Romance]",Original,TV,6.56,"7,654",Winter,2007
96,Yes! Precure 5,Toei Animation,49,"[Action, Fantasy, Magic, School, Shoujo]",Original,TV,7.31,"7,017",Winter,2007
97,Koisuru Tenshi Angelique: Kagayaki no Ashita,Satelight,12,"[Drama, Fantasy, Harem, Romance, Shoujo]",Game,TV,7.16,"6,291",Winter,2007
98,Reideen,Production I.G,26,"[Action, Mecha, Sci-Fi]",-,TV,6.65,"5,976",Winter,2007
99,Getsumen To Heiki Mina,Gonzo,11,"[Comedy, Parody, Sci-Fi]",Other,TV,6.43,"5,070",Winter,2007
100,Rocket Girls,Mook DLE,12,"[Sci-Fi, Adventure]",Light novel,TV,7.02,"5,063",Winter,2007
